,0
377,2721.7415
378,2722.6917
379,2722.6917
380,2728.675
381,2728.675
382,2735.2922
383,2735.2922
384,2741.692
385,2741.692
386,2747.5674
387,2747.5674
388,2752.4531
389,2752.4531
390,2756.6199
391,2756.6199
392,2763.1672
393,2763.1672
394,2768.6914
395,2768.6914
396,2772.3052
397,2772.3052
398,2776.735
399,2776.735
400,2783.6558
401,2783.6558
402,2791.5466
403,2791.5466
404,2796.8853
405,2796.8853
406,2800.1277
407,2800.1277
408,2803.1914
409,2803.1914
410,2808.0537
411,2808.0537
412,2813.5457
413,2813.5457
414,2819.6262
415,2819.6262
416,2827.7556
417,2827.7556
418,2836.0674
419,2836.0674
420,2842.861
421,2842.861
422,2847.1973
423,2847.1973
424,2850.1567
425,2850.1567
426,2853.435
427,2853.435
428,2857.3694
429,2857.3694
430,2860.98
431,2860.98
432,2865.6582
433,2865.6582
434,2870.172
435,2870.172
436,2873.383
437,2873.383
438,2876.025
439,2876.025
440,2878.6714
441,2878.6714
442,2880.0496
443,2880.0496
444,2879.5437
445,2879.5437
446,2873.3442
447,2873.3442
448,2860.334
449,2860.334
